iter	MultiClass
0	0.9894083613
1	0.9086965596
2	0.8473864549
3	0.7818885564
4	0.7197153443
5	0.660554862
6	0.6168623071
7	0.5759881032
8	0.535621638
9	0.501674878
10	0.4708659727
11	0.4474847203
12	0.4259544826
13	0.4086387499
14	0.3881678502
15	0.3717484357
16	0.3524008629
17	0.336396537
18	0.3209944545
19	0.3077409396
20	0.2974477726
21	0.2877613911
22	0.2734619955
23	0.2638547113
24	0.2556782099
25	0.2455869485
26	0.2368776614
27	0.2309661851
28	0.2219867834
29	0.2146468034
30	0.2089462733
31	0.2037067517
32	0.1966213577
33	0.1896179613
34	0.1834707379
35	0.1787912722
36	0.1742368253
37	0.1691797633
38	0.1653815991
39	0.1592241413
40	0.1557624734
41	0.1515882166
42	0.1483538563
43	0.1449657727
44	0.1413943514
45	0.138067843
46	0.1349103162
47	0.1320058847
48	0.1296154667
49	0.125196692
50	0.1229396684
51	0.1200369722
52	0.1181667502
53	0.1155754958
54	0.1133014248
55	0.1105258367
56	0.1081793494
57	0.1057477682
58	0.1038001645
59	0.1020259965
60	0.09895589413
61	0.09712526325
62	0.09539273909
63	0.09387606822
64	0.0920110841
65	0.08990094879
66	0.08741283222
67	0.08621159819
68	0.08502653291
69	0.08361745817
70	0.08231577971
71	0.08055528357
72	0.07861208206
73	0.07754845961
74	0.07646015328
75	0.07507215544
76	0.07352381666
77	0.0723206632
78	0.07075409887
79	0.06970612974
80	0.06834944482
81	0.06758616306
82	0.066141784
83	0.06526766387
84	0.06406635412
85	0.06324836597
86	0.062003821
87	0.06126340634
88	0.06037119921
89	0.0595914252
90	0.0588707442
91	0.0579352445
92	0.05729388264
93	0.05654058113
94	0.05578663365
95	0.05499300022
96	0.05436972107
97	0.05365720579
98	0.05286085077
99	0.05232581541
100	0.05185985285
101	0.05142045746
102	0.05087135018
103	0.04992900838
104	0.04947389894
105	0.04883292761
106	0.04810965219
107	0.04753698097
108	0.04686921633
109	0.04638576562
110	0.04585059809
111	0.04543811519
112	0.04487672022
113	0.04435042786
114	0.04381184095
115	0.04314318912
116	0.04257349116
117	0.04217731333
118	0.04175145945
119	0.04130371862
120	0.04082363613
121	0.04048484437
122	0.04001133093
123	0.03971200846
124	0.03927720541
125	0.03869919281
126	0.03835161797
127	0.03801526554
128	0.03771228544
129	0.03739025575
130	0.03697080861
131	0.03663770833
132	0.03617532056
133	0.03569044174
134	0.03520415662
135	0.03473555933
136	0.0343569217
137	0.0341183816
138	0.03381598602
139	0.03347287107
140	0.03327415017
141	0.03302768175
142	0.03278525637
143	0.03250784207
144	0.03233106351
145	0.03202164862
146	0.03173517374
147	0.03149709356
148	0.03132171408
149	0.03093704577
150	0.0307491245
151	0.03055180372
152	0.03032262948
153	0.03009671028
154	0.02987485297
155	0.02961062017
156	0.02939696881
157	0.0291576344
158	0.02898583482
159	0.02877542297
160	0.02846233894
161	0.0281878081
162	0.02787403948
163	0.02761751618
164	0.0274383669
165	0.02714717004
166	0.02696438786
167	0.02678082247
168	0.02663040707
169	0.02638937842
170	0.02617598327
171	0.02590411671
172	0.02568023164
173	0.02551559354
174	0.02528794685
175	0.02505839946
176	0.02492053023
177	0.02469580379
178	0.02456868596
179	0.02439543667
180	0.02423745253
181	0.02408297694
182	0.02394433117
183	0.02374569149
184	0.02360593914
185	0.0235185033
186	0.02338960962
187	0.0231629764
188	0.02296785999
189	0.02280930551
190	0.02270069842
191	0.02255160941
192	0.02242558476
193	0.02230742044
194	0.0222024794
195	0.02207930353
196	0.02187428098
197	0.0217745106
198	0.02162862015
199	0.02151024875
200	0.02141667574
201	0.02130569012
202	0.02116610276
203	0.02105628678
204	0.02087495882
205	0.02077584327
206	0.02068620477
207	0.02059996269
208	0.02048996626
209	0.02037537321
210	0.02022636449
211	0.0201559635
212	0.02003224248
213	0.0199439609
214	0.01985221435
215	0.01976822197
216	0.01968118838
217	0.01955812828
218	0.01947192388
219	0.01934320999
220	0.01925723291
221	0.01914386076
222	0.01902011378
223	0.01890572295
224	0.01882741777
225	0.01873118112
226	0.01865133444
227	0.01855951603
228	0.01845421412
229	0.01834792009
230	0.01826976814
231	0.01815565324
232	0.01806206397
233	0.01797030892
234	0.01790067401
235	0.01777514197
236	0.01769571119
237	0.01758579431
238	0.01750943751
239	0.01743407676
240	0.01734438542
241	0.01728796782
242	0.01719534775
243	0.01712058708
244	0.01705496475
245	0.01697576897
246	0.01688421595
247	0.01680503175
248	0.016721612
249	0.01665703116
250	0.01659460404
251	0.01652599377
252	0.01646041825
253	0.01637983019
254	0.0163168162
255	0.01624427982
256	0.01620017334
257	0.01612184045
258	0.01600813903
259	0.01590665107
260	0.01583068328
261	0.01575751857
262	0.01569987021
263	0.01562434933
264	0.01555567912
265	0.01547566364
266	0.0153984622
267	0.01532888684
268	0.01525750398
269	0.01517993899
270	0.01513639975
271	0.01506614513
272	0.01499961917
273	0.01492981988
274	0.01487657457
275	0.01482007993
276	0.01476007777
277	0.01470477598
278	0.01462340524
279	0.0145589677
280	0.01450266774
281	0.01444703626
282	0.01438319151
283	0.01431756026
284	0.01425361937
285	0.01419018994
286	0.01410483981
287	0.01405272304
288	0.01400012686
289	0.01395372818
290	0.01390235695
